VertexID	Color
75	1
45	1
320	1
70	1
120	1
5	1
90	1
100	1
220	1
230	1
450	1
205	1
440	1
105	1
180	1
280	1
355	1
225	1
335	1
170	1
115	1
340	1
110	1
360	1
345	1
270	1
390	1
50	1
310	1
430	1
160	1
395	1
125	1
40	1
165	1
275	1
185	1
65	1
175	1
235	1
285	1
250	1
135	1
425	1
215	1
55	1
60	1
295	1
195	1
80	1
350	1
130	1
400	1
300	1
380	1
15	1
290	1
305	1
10	1
375	1
25	1
155	1
385	1
405	1
435	1
255	1
35	1
95	1
145	1
245	1
370	1
260	1
85	1
445	1
330	1
240	1
140	1
420	1
150	1
30	1
315	1
20	1
200	1
410	1
415	1
190	1
265	1
325	1
210	1
365	1
127	2
372	2
277	2
347	2
307	2
172	2
167	2
282	2
112	2
22	2
192	2
37	2
367	2
257	2
357	2
107	2
402	2
117	2
12	2
397	2
422	2
187	2
377	2
102	2
392	2
287	2
197	2
2	2
57	2
447	2
7	2
202	2
207	2
212	2
417	2
437	2
32	2
302	2
332	2
152	2
97	2
327	2
122	2
297	2
352	2
62	2
322	2
147	2
52	2
82	2
17	2
217	2
387	2
222	2
442	2
292	2
262	2
317	2
177	2
42	2
267	2
382	2
27	2
237	2
87	2
77	2
232	2
242	2
247	2
337	2
132	2
412	2
427	2
137	2
67	2
312	2
142	2
92	2
227	2
47	2
432	2
157	2
362	2
407	2
272	2
182	2
252	2
342	2
162	2
72	2
78	3
198	3
73	3
218	3
108	3
273	3
128	3
183	3
58	3
3	3
433	3
428	3
188	3
83	3
173	3
253	3
443	3
258	3
18	3
353	3
8	3
263	3
68	3
243	3
238	3
208	3
268	3
88	3
13	3
333	3
163	3
98	3
448	3
358	3
93	3
278	3
368	3
178	3
383	3
203	3
103	3
283	3
293	3
348	3
328	3
158	3
378	3
363	3
343	3
63	3
438	3
288	3
233	3
113	3
338	3
248	3
418	3
148	3
423	3
403	3
168	3
153	3
318	3
53	3
193	3
373	3
323	3
413	3
408	3
143	3
48	3
28	3
23	3
38	3
138	3
118	3
228	3
313	3
123	3
303	3
33	3
133	3
398	3
43	3
298	3
308	3
388	3
213	3
223	3
393	3
36	4
381	4
156	4
256	4
51	4
151	4
221	4
166	4
386	4
271	4
131	4
41	4
336	4
226	4
311	4
141	4
161	4
1	4
266	4
426	4
21	4
246	4
321	4
331	4
261	4
91	4
401	4
46	4
376	4
201	4
251	4
326	4
216	4
101	4
276	4
106	4
96	4
111	4
146	4
56	4
436	4
446	4
441	4
61	4
371	4
176	4
341	4
206	4
431	4
316	4
66	4
81	4
421	4
211	4
366	4
31	4
136	4
86	4
26	4
391	4
286	4
196	4
361	4
281	4
191	4
416	4
411	4
171	4
76	4
356	4
396	4
306	4
241	4
126	4
71	4
301	4
186	4
6	4
11	4
16	4
231	4
181	4
406	4
351	4
291	4
296	4
121	4
236	4
116	4
346	4
374	5
424	5
209	5
29	5
119	5
334	5
294	5
19	5
129	5
364	5
379	5
199	5
204	5
44	5
369	5
419	5
304	5
9	5
144	5
64	5
14	5
79	5
289	5
244	5
109	5
269	5
349	5
414	5
34	5
259	5
274	5
169	5
384	5
404	5
254	5
89	5
74	5
24	5
134	5
184	5
389	5
164	5
54	5
354	5
154	5
264	5
429	5
249	5
359	5
444	5
224	5
339	5
309	5
159	5
179	5
324	5
194	5
84	5
234	5
279	5
189	5
409	5
114	5
399	5
219	5
49	5
4	5
394	5
214	5
104	5
314	5
94	5
39	5
329	5
149	5
299	5
174	5
69	5
59	5
99	5
434	5
344	5
239	5
439	5
139	5
229	5
284	5
124	5
449	5
319	5
