<<<<<<< HEAD
VertexID	Color
17	1
1	1
34	1
35	1
36	1
37	1
39	1
40	1
41	1
42	1
48	1
49	1
51	1
52	1
53	1
54	1
56	1
57	1
58	1
60	1
61	1
65	1
68	1
69	1
70	1
71	1
72	1
73	1
75	1
109	1
111	1
112	1
115	1
118	1
126	1
127	1
128	1
131	1
133	1
134	1
135	1
139	1
140	1
142	1
143	1
144	1
146	1
148	1
152	1
153	1
154	1
155	1
157	1
158	1
162	1
164	1
165	1
167	1
169	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
184	1
186	1
187	1
188	1
191	1
192	1
193	1
194	1
195	1
196	1
198	1
199	1
202	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
215	1
217	1
227	1
229	1
231	1
233	1
235	1
237	1
243	1
247	1
253	1
254	1
256	1
257	1
260	1
266	1
268	1
270	1
272	1
274	1
278	1
284	1
285	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
298	1
300	1
301	1
304	1
306	1
307	1
309	1
311	1
312	1
314	1
316	1
319	1
320	1
322	1
323	1
324	1
326	1
330	1
332	1
334	1
335	1
337	1
341	1
342	1
345	1
346	1
347	1
348	1
349	1
350	1
352	1
353	1
354	1
356	1
357	1
359	1
361	1
362	1
363	1
365	1
367	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	1
381	1
382	1
385	1
387	1
389	1
392	1
396	1
397	1
399	1
400	1
403	1
406	1
408	1
410	1
414	1
416	1
417	1
418	1
419	1
420	1
422	1
424	1
425	1
427	1
428	1
429	1
430	1
432	1
435	1
437	1
439	1
440	1
442	1
444	1
446	1
447	1
448	1
450	1
453	1
455	1
456	1
458	1
461	1
464	1
466	1
468	1
472	1
476	1
477	1
479	1
481	1
485	1
487	1
489	1
492	1
494	1
495	1
18	2
2	2
19	3
3	3
20	4
4	4
21	5
5	5
22	6
6	6
23	7
7	7
24	8
8	8
25	9
9	9
26	10
10	10
27	11
11	11
28	12
12	12
29	13
13	13
30	14
14	14
31	15
15	15
32	16
16	16
38	17
33	17
64	17
163	17
216	17
279	17
281	17
283	17
317	17
318	17
393	17
395	17
454	17
473	17
475	17
493	17
44	18
43	18
76	18
78	18
79	18
84	18
85	18
98	18
132	18
170	18
172	18
185	18
189	18
190	18
197	18
299	18
328	18
331	18
340	18
343	18
344	18
351	18
355	18
358	18
433	18
459	18
480	18
46	19
45	19
80	19
86	19
99	19
302	19
308	19
313	19
460	19
462	19
463	19
467	19
469	19
482	19
483	19
484	19
488	19
490	19
50	20
47	20
81	20
100	20
136	20
145	20
156	20
296	20
55	21
101	21
129	21
297	21
63	22
59	22
102	22
130	22
303	22
465	22
74	23
103	23
137	23
147	23
150	23
305	23
77	24
62	24
87	24
104	24
138	24
310	24
434	24
443	24
449	24
470	24
486	24
88	25
66	25
67	25
82	25
105	25
258	25
259	25
263	25
271	25
401	25
402	25
405	25
409	25
491	25
90	26
106	26
91	27
244	27
246	27
251	27
252	27
280	27
282	27
394	27
423	27
426	27
474	27
92	28
245	28
248	28
250	28
93	29
249	29
94	30
95	31
96	32
97	33
107	34
108	35
110	36
113	37
114	38
116	39
117	40
119	41
315	41
120	42
321	42
121	43
122	44
123	45
124	46
125	47
168	48
141	48
171	49
149	49
325	50
83	50
151	50
200	50
201	50
213	50
219	50
226	50
236	50
471	50
496	50
327	51
159	51
182	51
478	51
329	52
160	52
183	52
333	53
161	53
203	53
220	53
223	53
230	53
238	53
336	54
166	54
204	54
221	54
222	54
224	54
232	54
242	54
338	55
214	55
218	55
225	55
234	55
240	55
261	55
264	55
273	55
276	55
339	56
228	56
262	56
265	56
269	56
277	56
360	57
239	57
267	57
431	57
366	58
89	58
241	58
275	58
379	58
436	58
441	58
368	59
255	59
286	59
380	59
383	59
384	59
388	59
390	59
438	59
404	60
386	60
445	60
452	60
407	61
391	61
451	61
411	62
364	62
398	62
457	62
412	63
413	64
421	65
415	65
=======
VertexID	Color
17	1
1	1
34	1
35	1
36	1
37	1
39	1
40	1
41	1
42	1
48	1
49	1
51	1
52	1
53	1
54	1
56	1
57	1
58	1
60	1
61	1
65	1
68	1
69	1
70	1
71	1
72	1
73	1
75	1
109	1
111	1
112	1
115	1
118	1
126	1
127	1
128	1
131	1
133	1
134	1
135	1
139	1
140	1
142	1
143	1
144	1
146	1
148	1
152	1
153	1
154	1
155	1
157	1
158	1
162	1
164	1
165	1
167	1
169	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
184	1
186	1
187	1
188	1
191	1
192	1
193	1
194	1
195	1
196	1
198	1
199	1
202	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
215	1
217	1
227	1
229	1
231	1
233	1
235	1
237	1
243	1
247	1
